measured_depth,inclination,azimuth
0.00,0.00,0.00
100.00,0.00,0.00
200.00,0.00,0.00
300.00,0.00,0.00
400.00,0.00,0.00
500.00,0.00,0.00
600.00,0.00,0.00
700.00,0.00,0.00
800.00,0.00,0.00
900.00,0.00,0.00
1000.00,0.00,0.00
1100.00,0.00,0.00
1200.00,0.00,0.00
1300.00,0.00,0.00
1400.00,0.00,0.00
1500.00,0.00,0.00
1600.00,0.00,0.00
1700.00,0.00,0.00
1800.00,0.00,0.00
1900.00,0.00,0.00
2000.00,0.00,0.00
2100.00,0.00,0.00
2200.00,0.00,0.00
2300.00,0.00,0.00
2400.00,0.00,0.00
2500.00,0.00,0.00
2600.00,0.00,0.00
2700.00,0.00,0.00
2800.00,0.00,0.00
2900.00,0.00,0.00
3000.00,0.00,0.00
3100.00,0.00,0.00
3200.00,0.00,0.00
3300.00,0.00,0.00
3400.00,0.00,0.00
3500.00,0.00,0.00
3600.00,0.00,0.00
3700.00,0.00,0.00
3800.00,0.00,0.00
3900.00,0.00,0.00
4000.00,0.00,0.00
4100.00,0.00,0.00
4200.00,0.00,0.00
4300.00,12.00,0.00
4400.00,24.00,0.00
4500.00,36.00,0.00
4600.00,48.00,0.00
4700.00,60.00,0.00
4800.00,72.00,0.00
4900.00,84.00,0.00
4950.02,90.00,0.00
5000.00,90.00,0.00
5100.00,90.00,0.00
5200.00,90.00,0.00
5300.00,90.00,0.00
5400.00,90.00,0.00
5500.00,90.00,0.00
5600.00,90.00,0.00
5700.00,90.00,0.00
5800.00,90.00,0.00
5900.00,90.00,0.00
6000.00,90.00,0.00
6100.00,90.00,0.00
6200.00,90.00,0.00
6300.00,90.00,0.00
6400.00,90.00,0.00
6500.00,90.00,0.00
6600.00,90.00,0.00
6700.00,90.00,0.00
6800.00,90.00,0.00
6900.00,90.00,0.00
7000.00,90.00,0.00
7100.00,90.00,0.00
7200.00,90.00,0.00
7300.00,90.00,0.00
7400.00,90.00,0.00
7500.00,90.00,0.00
7600.00,90.00,0.00
7700.00,90.00,0.00
7800.00,90.00,0.00
7900.00,90.00,0.00
8000.00,90.00,0.00
8100.00,90.00,0.00
8200.00,90.00,0.00
8300.00,90.00,0.00
8400.00,90.00,0.00
8500.00,90.00,0.00
8600.00,90.00,0.00
8700.00,90.00,0.00
8800.00,90.00,0.00
8900.00,90.00,0.00
9000.00,90.00,0.00
9100.00,90.00,0.00
9200.00,90.00,0.00
9300.00,90.00,0.00
9400.00,90.00,0.00
9500.00,90.00,0.00
9600.00,90.00,0.00
9700.00,90.00,0.00
9800.00,90.00,0.00
9900.00,90.00,0.00
10000.00,90.00,0.00
10100.00,90.00,0.00
10200.00,90.00,0.00
10300.00,90.00,0.00
10400.00,90.00,0.00
10500.00,90.00,0.00
10600.00,90.00,0.00
10700.00,90.00,0.00
10800.00,90.00,0.00
10900.00,90.00,0.00
11000.00,90.00,0.00
11100.00,90.00,0.00
11200.00,90.00,0.00
11300.00,90.00,0.00
11400.00,90.00,0.00
11500.00,90.00,0.00
11600.00,90.00,0.00
11700.00,90.00,0.00
11800.00,90.00,0.00
11900.00,90.00,0.00
12000.00,90.00,0.00
12100.00,90.00,0.00
12200.00,90.00,0.00
12300.00,90.00,0.00
12400.00,90.00,0.00
12500.00,90.00,0.00
12600.00,90.00,0.00
12700.00,90.00,0.00
12800.00,90.00,0.00
12900.00,90.00,0.00
13000.00,90.00,0.00
13100.00,90.00,0.00
13200.00,90.00,0.00
13300.00,90.00,0.00
13400.00,90.00,0.00
13500.00,90.00,0.00
13600.00,90.00,0.00
13700.00,90.00,0.00
13800.00,90.00,0.00
13900.00,90.00,0.00
14000.00,90.00,0.00
14100.00,90.00,0.00
14200.00,90.00,0.00
14300.00,90.00,0.00
14400.00,90.00,0.00
14500.00,90.00,0.00
14600.00,90.00,0.00
14700.00,90.00,0.00
14800.00,90.00,0.00
14900.00,90.00,0.00
15000.00,90.00,0.00
